"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 16 10:06:58 GMT 2024","Tue Jul 16 10:07:01 GMT 2024","2770","firefox","mainPage.spec.ts","Main page testing","","","Verify top-menu elements are visible",""
"passed","Tue Jul 16 10:06:02 GMT 2024","Tue Jul 16 10:06:05 GMT 2024","3122","chromium","login.spec.ts","Login page testing","","","Verify all needs elements are visible",""
"passed","Tue Jul 16 10:07:16 GMT 2024","Tue Jul 16 10:07:36 GMT 2024","19773","webkit","login.spec.ts","Login page testing","","","Verify errors when logging in with invalid credentials",""
"passed","Tue Jul 16 10:06:41 GMT 2024","Tue Jul 16 10:06:58 GMT 2024","17592","firefox","login.spec.ts","Login page testing","","","Verify errors when logging in with invalid credentials",""
"passed","Tue Jul 16 10:06:08 GMT 2024","Tue Jul 16 10:06:25 GMT 2024","16689","chromium","login.spec.ts","Login page testing","","","Verify errors when logging in with invalid credentials",""
"passed","Tue Jul 16 10:06:05 GMT 2024","Tue Jul 16 10:06:08 GMT 2024","2823","chromium","login.spec.ts","Login page testing","","","User can log in with valid credentials",""
"passed","Tue Jul 16 10:07:40 GMT 2024","Tue Jul 16 10:07:44 GMT 2024","3813","webkit","mainPage.spec.ts","Main page testing","","","Verify header elements are visible",""
"passed","Tue Jul 16 10:07:01 GMT 2024","Tue Jul 16 10:07:04 GMT 2024","3195","firefox","mainPage.spec.ts","Main page testing","","","Verify header elements are visible",""
"passed","Tue Jul 16 10:06:25 GMT 2024","Tue Jul 16 10:06:28 GMT 2024","2594","chromium","mainPage.spec.ts","Main page testing","","","Verify top-menu elements are visible",""
"passed","Tue Jul 16 10:06:36 GMT 2024","Tue Jul 16 10:06:41 GMT 2024","4414","firefox","login.spec.ts","Login page testing","","","User can log in with valid credentials",""
"passed","Tue Jul 16 10:07:07 GMT 2024","Tue Jul 16 10:07:11 GMT 2024","4022","webkit","login.spec.ts","Login page testing","","","Verify all needs elements are visible",""
"passed","Tue Jul 16 10:06:28 GMT 2024","Tue Jul 16 10:06:31 GMT 2024","3476","chromium","mainPage.spec.ts","Main page testing","","","Verify header elements are visible",""
"passed","Tue Jul 16 10:07:11 GMT 2024","Tue Jul 16 10:07:16 GMT 2024","4957","webkit","login.spec.ts","Login page testing","","","User can log in with valid credentials",""
"passed","Tue Jul 16 10:07:36 GMT 2024","Tue Jul 16 10:07:40 GMT 2024","3821","webkit","mainPage.spec.ts","Main page testing","","","Verify top-menu elements are visible",""
"passed","Tue Jul 16 10:06:33 GMT 2024","Tue Jul 16 10:06:36 GMT 2024","3283","firefox","login.spec.ts","Login page testing","","","Verify all needs elements are visible",""
